PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
91103,20070815,UAUA,U A L CORP,38.12000,-0.085193,1
91103,20070816,UAUA,U A L CORP,38.56000,0.011543,1
91103,20070817,UAUA,U A L CORP,40.64000,0.053942,1
91103,20070820,UAUA,U A L CORP,40.44000,-0.004921,1
91103,20070821,UAUA,U A L CORP,42.84000,0.059347,1
91103,20070822,UAUA,U A L CORP,43.83000,0.023109,1
91103,20070823,UAUA,U A L CORP,43.71000,-0.002738,1
91103,20070824,UAUA,U A L CORP,45.51000,0.041180,1
91103,20070827,UAUA,U A L CORP,44.24000,-0.027906,1
91103,20070828,UAUA,U A L CORP,43.80000,-0.009946,1
91103,20070829,UAUA,U A L CORP,45.31000,0.034475,1
91103,20070830,UAUA,U A L CORP,46.09000,0.017215,1
91103,20070831,UAUA,U A L CORP,47.47000,0.029941,1
91103,20070904,UAUA,U A L CORP,47.85000,0.008005,1
91103,20070905,UAUA,U A L CORP,46.95000,-0.018809,1
91103,20070906,UAUA,U A L CORP,45.89000,-0.022577,1
91103,20070907,UAUA,U A L CORP,44.68000,-0.026367,1
91103,20070910,UAUA,U A L CORP,44.65000,-0.000671,1
91103,20070911,UAUA,U A L CORP,45.71000,0.023740,1
91103,20070912,UAUA,U A L CORP,44.20000,-0.033034,1
91103,20070913,UAUA,U A L CORP,45.02000,0.018552,1
91103,20070914,UAUA,U A L CORP,45.86000,0.018658,1
91103,20070917,UAUA,U A L CORP,44.89000,-0.021151,1
91103,20070918,UAUA,U A L CORP,46.12000,0.027400,1
91103,20070919,UAUA,U A L CORP,47.79000,0.036210,1
91103,20070920,UAUA,U A L CORP,46.83000,-0.020088,1
91103,20070921,UAUA,U A L CORP,46.01000,-0.017510,1
91103,20070924,UAUA,U A L CORP,43.23000,-0.060422,1
91103,20070925,UAUA,U A L CORP,44.11000,0.020356,1
91103,20070926,UAUA,U A L CORP,45.77000,0.037633,1
91103,20070927,UAUA,U A L CORP,45.77000,0.000000,1
91103,20070928,UAUA,U A L CORP,46.53000,0.016605,1
91103,20071001,UAUA,U A L CORP,47.78000,0.026864,1
91103,20071002,UAUA,U A L CORP,48.79000,0.021139,1
91103,20071003,UAUA,U A L CORP,48.26000,-0.010863,1
91103,20071004,UAUA,U A L CORP,47.11000,-0.023829,1
91103,20071005,UAUA,U A L CORP,48.40000,0.027383,1
91103,20071008,UAUA,U A L CORP,48.60000,0.004132,1
91103,20071009,UAUA,U A L CORP,49.03600,0.008971,1
91103,20071010,UAUA,U A L CORP,48.70000,-0.006852,1
91103,20071011,UAUA,U A L CORP,47.61000,-0.022382,1
91103,20071012,UAUA,U A L CORP,47.82000,0.004411,1
91103,20071015,UAUA,U A L CORP,46.58000,-0.025931,1
91103,20071016,UAUA,U A L CORP,47.79000,0.025977,1
91103,20071017,UAUA,U A L CORP,49.66000,0.039130,1
91103,20071018,UAUA,U A L CORP,49.03000,-0.012686,1
91103,20071019,UAUA,U A L CORP,47.87000,-0.023659,1
91103,20071022,UAUA,U A L CORP,48.13000,0.005431,1
91103,20071023,UAUA,U A L CORP,51.49000,0.069811,1
91103,20071024,UAUA,U A L CORP,50.27000,-0.023694,1
91103,20071025,UAUA,U A L CORP,48.61000,-0.033022,1
91103,20071026,UAUA,U A L CORP,47.28000,-0.027361,1
91103,20071029,UAUA,U A L CORP,46.62000,-0.013959,1
91103,20071030,UAUA,U A L CORP,48.18000,0.033462,1
91103,20071031,UAUA,U A L CORP,47.90000,-0.005812,1
91103,20071101,UAUA,U A L CORP,47.08000,-0.017119,1
91103,20071102,UAUA,U A L CORP,45.53000,-0.032923,1
91103,20071105,UAUA,U A L CORP,45.33000,-0.004393,1
91103,20071106,UAUA,U A L CORP,43.48000,-0.040812,1
91103,20071107,UAUA,U A L CORP,42.01000,-0.033809,1
91103,20071108,UAUA,U A L CORP,41.44000,-0.013568,1
91103,20071109,UAUA,U A L CORP,40.31000,-0.027268,1
91103,20071112,UAUA,U A L CORP,41.02000,0.017613,1
91103,20071113,UAUA,U A L CORP,43.50000,0.060458,1
91103,20071114,UAUA,U A L CORP,44.17000,0.015402,1
91103,20071115,UAUA,U A L CORP,43.26000,-0.020602,1
91103,20071116,UAUA,U A L CORP,42.91000,-0.008091,1
91103,20071119,UAUA,U A L CORP,40.76000,-0.050105,1
91103,20071120,UAUA,U A L CORP,38.19000,-0.063052,1
91103,20071121,UAUA,U A L CORP,39.00000,0.021210,1
91103,20071123,UAUA,U A L CORP,40.23000,0.031538,1
91103,20071126,UAUA,U A L CORP,39.78000,-0.011186,1
91103,20071127,UAUA,U A L CORP,40.61000,0.020865,1
91103,20071128,UAUA,U A L CORP,41.50000,0.021916,1
91103,20071129,UAUA,U A L CORP,40.12000,-0.033253,1
91103,20071130,UAUA,U A L CORP,40.94000,0.020439,1
91103,20071203,UAUA,U A L CORP,39.81000,-0.027601,1
91103,20071204,UAUA,U A L CORP,39.98000,0.004270,1
91103,20071205,UAUA,U A L CORP,40.13000,0.003752,1
91103,20071206,UAUA,U A L CORP,40.63000,0.012460,1
91103,20071207,UAUA,U A L CORP,42.39000,0.043318,1
91103,20071210,UAUA,U A L CORP,41.93000,-0.010852,1
91103,20071211,UAUA,U A L CORP,38.99500,-0.069998,1
91103,20071212,UAUA,U A L CORP,36.48000,-0.064495,1
91103,20071213,UAUA,U A L CORP,36.56000,0.002193,1
91103,20071214,UAUA,U A L CORP,36.77000,0.005744,1
91103,20071217,UAUA,U A L CORP,34.81000,-0.053304,1
91103,20071218,UAUA,U A L CORP,34.62000,-0.005458,1
91103,20071219,UAUA,U A L CORP,36.50000,0.054304,1
91103,20071220,UAUA,U A L CORP,35.54000,-0.026301,1
91103,20071221,UAUA,U A L CORP,35.75000,0.005909,1
91103,20071224,UAUA,U A L CORP,36.97000,0.034126,1
91103,20071226,UAUA,U A L CORP,36.13000,-0.022721,1
91103,20071227,UAUA,U A L CORP,34.80000,-0.036812,1
91103,20071228,UAUA,U A L CORP,34.49000,-0.008908,1
91103,20071231,UAUA,U A L CORP,35.66000,0.033923,1
91103,20080102,UAUA,U A L CORP,31.99000,-0.102916,1
91103,20080103,UAUA,U A L CORP,31.75000,-0.007502,1
91103,20080104,UAUA,U A L CORP,33.15000,0.044095,1
91103,20080107,UAUA,U A L CORP,29.18000,-0.054902,1
91103,20080108,UAUA,U A L CORP,24.39000,-0.164154,1
91103,20080109,UAUA,U A L CORP,26.03000,0.067241,1
91103,20080110,UAUA,U A L CORP,32.19000,0.236650,1
91103,20080111,UAUA,U A L CORP,32.07000,-0.003728,1
91103,20080114,UAUA,U A L CORP,32.93000,0.026816,1
91103,20080115,UAUA,U A L CORP,34.57000,0.049803,1
91103,20080116,UAUA,U A L CORP,34.64000,0.002025,1
91103,20080117,UAUA,U A L CORP,33.42000,-0.035219,1
91103,20080118,UAUA,U A L CORP,32.94000,-0.014363,1
91103,20080122,UAUA,U A L CORP,31.87000,-0.032483,1
91103,20080123,UAUA,U A L CORP,36.41000,0.142454,1
91103,20080124,UAUA,U A L CORP,34.47000,-0.053282,1
91103,20080125,UAUA,U A L CORP,34.87000,0.011604,1
91103,20080128,UAUA,U A L CORP,35.63000,0.021795,1
91103,20080129,UAUA,U A L CORP,35.67000,0.001123,1
91103,20080130,UAUA,U A L CORP,36.00000,0.009252,1
91103,20080131,UAUA,U A L CORP,37.95000,0.054167,1
91103,20080201,UAUA,U A L CORP,41.14000,0.084058,1
91103,20080204,UAUA,U A L CORP,38.58000,-0.062226,1
91103,20080205,UAUA,U A L CORP,36.66000,-0.049767,1
91103,20080206,UAUA,U A L CORP,37.67000,0.027550,1
91103,20080207,UAUA,U A L CORP,39.55000,0.049907,1
91103,20080208,UAUA,U A L CORP,39.96000,0.010367,1
91103,20080211,UAUA,U A L CORP,40.11000,0.003754,1
91103,20080212,UAUA,U A L CORP,38.83000,-0.031912,1
91103,20080213,UAUA,U A L CORP,38.59000,-0.006181,1
91103,20080214,UAUA,U A L CORP,37.03000,-0.040425,1
91103,20080215,UAUA,U A L CORP,37.35000,0.008642,1
91103,20080219,UAUA,U A L CORP,35.81000,-0.041232,1
91103,20080220,UAUA,U A L CORP,37.14000,0.037140,1
91103,20080221,UAUA,U A L CORP,35.91000,-0.033118,1
91103,20080222,UAUA,U A L CORP,35.49000,-0.011696,1
91103,20080225,UAUA,U A L CORP,35.25000,-0.006763,1
91103,20080226,UAUA,U A L CORP,34.95000,-0.008511,1
91103,20080227,UAUA,U A L CORP,33.23000,-0.049213,1
91103,20080228,UAUA,U A L CORP,31.94000,-0.038820,1
91103,20080229,UAUA,U A L CORP,30.30000,-0.051346,1
91103,20080303,UAUA,U A L CORP,29.34000,-0.031683,1
91103,20080304,UAUA,U A L CORP,28.40000,-0.032038,1
91103,20080305,UAUA,U A L CORP,30.16990,0.062320,1
91103,20080306,UAUA,U A L CORP,28.31000,-0.061648,1
91103,20080307,UAUA,U A L CORP,28.09000,-0.007771,1
91103,20080310,UAUA,U A L CORP,26.49000,-0.056960,1
91103,20080311,UAUA,U A L CORP,26.83000,0.012835,1
91103,20080312,UAUA,U A L CORP,24.29000,-0.094670,1
91103,20080313,UAUA,U A L CORP,24.05000,-0.009881,1
91103,20080314,UAUA,U A L CORP,22.68000,-0.056965,1
91103,20080317,UAUA,U A L CORP,20.91000,-0.078042,1
91103,20080318,UAUA,U A L CORP,22.57000,0.079388,1
91103,20080319,UAUA,U A L CORP,23.18000,0.027027,1
91103,20080320,UAUA,U A L CORP,23.17000,-0.000431,1
91103,20080324,UAUA,U A L CORP,23.64000,0.020285,1
91103,20080325,UAUA,U A L CORP,24.13000,0.020728,1
91103,20080326,UAUA,U A L CORP,21.99000,-0.088686,1
91103,20080327,UAUA,U A L CORP,21.25000,-0.033652,1
91103,20080328,UAUA,U A L CORP,21.19000,-0.002824,1
91103,20080331,UAUA,U A L CORP,21.53000,0.016045,1
91103,20080401,UAUA,U A L CORP,23.13000,0.074315,1
91103,20080402,UAUA,U A L CORP,22.04000,-0.047125,1
91103,20080403,UAUA,U A L CORP,21.79000,-0.011343,1
91103,20080404,UAUA,U A L CORP,21.20000,-0.027077,1
91103,20080407,UAUA,U A L CORP,22.18000,0.046226,1
91103,20080408,UAUA,U A L CORP,22.73000,0.024797,1
91103,20080409,UAUA,U A L CORP,21.16000,-0.069072,1
91103,20080410,UAUA,U A L CORP,22.40000,0.058601,1
91103,20080411,UAUA,U A L CORP,22.90000,0.022321,1
91103,20080414,UAUA,U A L CORP,23.61000,0.031004,1
91103,20080415,UAUA,U A L CORP,22.32000,-0.054638,1
91103,20080416,UAUA,U A L CORP,22.86000,0.024194,1
91103,20080417,UAUA,U A L CORP,22.40000,-0.020123,1
91103,20080418,UAUA,U A L CORP,22.85000,0.020089,1
91103,20080421,UAUA,U A L CORP,21.43000,-0.062144,1
91103,20080422,UAUA,U A L CORP,13.55000,-0.367709,1
91103,20080423,UAUA,U A L CORP,13.95000,0.029520,1
91103,20080424,UAUA,U A L CORP,15.40000,0.103943,1
91103,20080425,UAUA,U A L CORP,15.21000,-0.012338,1
91103,20080428,UAUA,U A L CORP,14.81000,-0.026298,1
91103,20080429,UAUA,U A L CORP,14.93000,0.008103,1
91103,20080430,UAUA,U A L CORP,14.90000,-0.002009,1
91103,20080501,UAUA,U A L CORP,16.10000,0.080537,1
91103,20080502,UAUA,U A L CORP,15.89000,-0.013043,1
91103,20080505,UAUA,U A L CORP,15.00000,-0.056010,1
91103,20080506,UAUA,U A L CORP,14.15000,-0.056667,1
91103,20080507,UAUA,U A L CORP,13.82000,-0.023322,1
91103,20080508,UAUA,U A L CORP,13.54000,-0.020260,1
91103,20080509,UAUA,U A L CORP,13.71000,0.012555,1
91103,20080512,UAUA,U A L CORP,14.00000,0.021152,1
91103,20080513,UAUA,U A L CORP,13.71000,-0.020714,1
91103,20080514,UAUA,U A L CORP,14.17000,0.033552,1
91103,20080515,UAUA,U A L CORP,14.38000,0.014820,1
91103,20080516,UAUA,U A L CORP,13.81000,-0.039638,1
91103,20080519,UAUA,U A L CORP,12.42000,-0.100652,1
91103,20080520,UAUA,U A L CORP,11.56000,-0.069243,1
91103,20080521,UAUA,U A L CORP,8.15000,-0.294983,1
91103,20080522,UAUA,U A L CORP,8.15000,0.000000,1
91103,20080523,UAUA,U A L CORP,7.52000,-0.077301,1
91103,20080527,UAUA,U A L CORP,8.18000,0.087766,1
91103,20080528,UAUA,U A L CORP,7.91000,-0.033007,1
91103,20080529,UAUA,U A L CORP,8.39000,0.060683,1
91103,20080530,UAUA,U A L CORP,8.54000,0.017878,1
91103,20080602,UAUA,U A L CORP,7.88000,-0.077283,1
91103,20080603,UAUA,U A L CORP,8.53000,0.082487,1
91103,20080604,UAUA,U A L CORP,9.14000,0.071512,1
91103,20080605,UAUA,U A L CORP,10.11000,0.106127,1
91103,20080606,UAUA,U A L CORP,8.64000,-0.145401,1
91103,20080609,UAUA,U A L CORP,8.28000,-0.041667,1
91103,20080610,UAUA,U A L CORP,8.25000,-0.003623,1
91103,20080611,UAUA,U A L CORP,7.22000,-0.124849,1
91103,20080612,UAUA,U A L CORP,6.31000,-0.126039,1
91103,20080613,UAUA,U A L CORP,6.86000,0.087163,1
91103,20080616,UAUA,U A L CORP,7.19000,0.048105,1
91103,20080617,UAUA,U A L CORP,7.00000,-0.026426,1
91103,20080618,UAUA,U A L CORP,6.55000,-0.064286,1
91103,20080619,UAUA,U A L CORP,8.11000,0.238168,1
91103,20080620,UAUA,U A L CORP,7.16000,-0.117139,1
91103,20080623,UAUA,U A L CORP,6.09000,-0.149441,1
91103,20080624,UAUA,U A L CORP,6.01000,-0.013136,1
91103,20080625,UAUA,U A L CORP,5.75000,-0.043261,1
91103,20080626,UAUA,U A L CORP,5.56000,-0.033043,1
91103,20080627,UAUA,U A L CORP,5.56000,0.000000,1
91103,20080630,UAUA,U A L CORP,5.22000,-0.061151,1
91103,20080701,UAUA,U A L CORP,4.60000,-0.118774,1
91103,20080702,UAUA,U A L CORP,4.01000,-0.128261,1
91103,20080703,UAUA,U A L CORP,3.86000,-0.037407,1
91103,20080707,UAUA,U A L CORP,4.19000,0.085492,1
91103,20080708,UAUA,U A L CORP,4.75000,0.133652,1
91103,20080709,UAUA,U A L CORP,4.41000,-0.071579,1
